id,title,description,object_key,video_url,source_label,video_group,video_code,method_name,sample_name,prompt_text,is_active
r2-1013-0001,Shape 1013 / Method 0001 / 4dgen fp,"Shape 1013, method 0001 (4dgen fp), source file 4dgen_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0001.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0001,0001,1013,A dinosaur lowering its head,1
r2-1013-0002,Shape 1013 / Method 0002 / 4dgen gt,"Shape 1013, method 0002 (4dgen gt), source file 4dgen_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0002.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0002,0002,1013,A dinosaur lowering its head,1
r2-1013-0003,Shape 1013 / Method 0003 / am_3d_video fp,"Shape 1013, method 0003 (am_3d_video fp), source file am_3d_video_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0003.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0003,0003,1013,A dinosaur lowering its head,1
r2-1013-0004,Shape 1013 / Method 0004 / am_3d_video gt,"Shape 1013, method 0004 (am_3d_video gt), source file am_3d_video_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0004.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0004,0004,1013,A dinosaur lowering its head,1
r2-1013-0005,Shape 1013 / Method 0005 / am_video fp,"Shape 1013, method 0005 (am_video fp), source file am_video_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0005.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0005,0005,1013,A dinosaur lowering its head,1
r2-1013-0006,Shape 1013 / Method 0006 / am_video gt,"Shape 1013, method 0006 (am_video gt), source file am_video_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0006.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0006,0006,1013,A dinosaur lowering its head,1
r2-1013-0007,Shape 1013 / Method 0007 / anymole,"Shape 1013, method 0007 (anymole), source file anymole_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0007.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0007,0007,1013,A dinosaur lowering its head,1
r2-1013-0008,Shape 1013 / Method 0008 / dg4d fp,"Shape 1013, method 0008 (dg4d fp), source file dg4d_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0008.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0008,0008,1013,A dinosaur lowering its head,1
r2-1013-0009,Shape 1013 / Method 0009 / dg4d gt,"Shape 1013, method 0009 (dg4d gt), source file dg4d_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0009.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0009,0009,1013,A dinosaur lowering its head,1
r2-1013-0011,Shape 1013 / Method 0011 / input gt,"Shape 1013, method 0011 (input gt), source file gt_input_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0011.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0011,0011,1013,A dinosaur lowering its head,1
r2-1013-0012,Shape 1013 / Method 0012 / gvfd fp,"Shape 1013, method 0012 (gvfd fp), source file gvfd_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0012.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0012,0012,1013,A dinosaur lowering its head,1
r2-1013-0013,Shape 1013 / Method 0013 / gvfd gt,"Shape 1013, method 0013 (gvfd gt), source file gvfd_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0013.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0013,0013,1013,A dinosaur lowering its head,1
r2-1013-0014,Shape 1013 / Method 0014 / key input,"Shape 1013, method 0014 (key input), source file key_input_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0014.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0014,0014,1013,A dinosaur lowering its head,1
r2-1013-0015,Shape 1013 / Method 0015 / motion324 fp,"Shape 1013, method 0015 (motion324 fp), source file motion324_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0015.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0015,0015,1013,A dinosaur lowering its head,1
r2-1013-0016,Shape 1013 / Method 0016 / motion324 gt,"Shape 1013, method 0016 (motion324 gt), source file motion324_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0016.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0016,0016,1013,A dinosaur lowering its head,1
r2-1013-0017,Shape 1013 / Method 0017 / sc4d fp,"Shape 1013, method 0017 (sc4d fp), source file sc4d_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0017.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0017,0017,1013,A dinosaur lowering its head,1
r2-1013-0018,Shape 1013 / Method 0018 / sc4d gt,"Shape 1013, method 0018 (sc4d gt), source file sc4d_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0018.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0018,0018,1013,A dinosaur lowering its head,1
r2-1013-0019,Shape 1013 / Method 0019 / sv4d2 fp,"Shape 1013, method 0019 (sv4d2 fp), source file sv4d2_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0019.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0019,0019,1013,A dinosaur lowering its head,1
r2-1013-0020,Shape 1013 / Method 0020 / sv4d2 gt,"Shape 1013, method 0020 (sv4d2 gt), source file sv4d2_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1013_0020.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0020,0020,1013,A dinosaur lowering its head,1
r2-1013-0021,Shape 1013 / Method 0021 / tc4d,"Shape 1013, method 0021 (tc4d).",20260508_all_latest_videos_collected/20260508_1013_0021.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1013-0021,0021,1013,A dinosaur lowering its head,1
r2-1047-0001,Shape 1047 / Method 0001 / 4dgen fp,"Shape 1047, method 0001 (4dgen fp), source file 4dgen_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1047_0001.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1047-0001,0001,1047,A character raising both hands / A character throwing their hands up in the air,1
r2-1047-0002,Shape 1047 / Method 0002 / 4dgen gt,"Shape 1047, method 0002 (4dgen gt), source file 4dgen_gt_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1047_0002.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1047-0002,0002,1047,A character raising both hands / A character throwing their hands up in the air,1
r2-1047-0003,Shape 1047 / Method 0003 / am_3d_video fp,"Shape 1047, method 0003 (am_3d_video fp), source file am_3d_video_fp_front-right60.mp4.",20260508_all_latest_videos_collected/20260508_1047_0003.mp4,,データベースランダム「Database Random」,R2-20260508-ALL-LATEST,1047-0003,0003,1047,A character raising both hands / A character throwing their hands up in the air,1
