id,title,description,object_key,video_url,source_label,video_group,video_code,method_name,sample_name,prompt_text,is_active
r2-1013-0001,R2 Sample / 1013 / 0001,"R2 uploaded sample for shape 1013, method 0001.",20260508_new_videos_collected/20260508_1013_0001.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0001,Method 0001,Shape 1013,,1
r2-1013-0002,R2 Sample / 1013 / 0002,"R2 uploaded sample for shape 1013, method 0002.",20260508_new_videos_collected/20260508_1013_0002.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0002,Method 0002,Shape 1013,,1
r2-1013-0003,R2 Sample / 1013 / 0003,"R2 uploaded sample for shape 1013, method 0003.",20260508_new_videos_collected/20260508_1013_0003.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0003,Method 0003,Shape 1013,,1
r2-1013-0004,R2 Sample / 1013 / 0004,"R2 uploaded sample for shape 1013, method 0004.",20260508_new_videos_collected/20260508_1013_0004.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0004,Method 0004,Shape 1013,,1
r2-1013-0005,R2 Sample / 1013 / 0005,"R2 uploaded sample for shape 1013, method 0005.",20260508_new_videos_collected/20260508_1013_0005.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0005,Method 0005,Shape 1013,,1
r2-1013-0006,R2 Sample / 1013 / 0006,"R2 uploaded sample for shape 1013, method 0006.",20260508_new_videos_collected/20260508_1013_0006.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0006,Method 0006,Shape 1013,,1
r2-1013-0007,R2 Sample / 1013 / 0007,"R2 uploaded sample for shape 1013, method 0007.",20260508_new_videos_collected/20260508_1013_0007.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0007,Method 0007,Shape 1013,,1
r2-1013-0008,R2 Sample / 1013 / 0008,"R2 uploaded sample for shape 1013, method 0008.",20260508_new_videos_collected/20260508_1013_0008.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0008,Method 0008,Shape 1013,,1
r2-1013-0009,R2 Sample / 1013 / 0009,"R2 uploaded sample for shape 1013, method 0009.",20260508_new_videos_collected/20260508_1013_0009.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0009,Method 0009,Shape 1013,,1
r2-1013-0011,R2 Sample / 1013 / 0011,"R2 uploaded sample for shape 1013, method 0011.",20260508_new_videos_collected/20260508_1013_0011.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0011,Method 0011,Shape 1013,,1
r2-1013-0012,R2 Sample / 1013 / 0012,"R2 uploaded sample for shape 1013, method 0012.",20260508_new_videos_collected/20260508_1013_0012.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0012,Method 0012,Shape 1013,,1
r2-1013-0013,R2 Sample / 1013 / 0013,"R2 uploaded sample for shape 1013, method 0013.",20260508_new_videos_collected/20260508_1013_0013.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0013,Method 0013,Shape 1013,,1
r2-1013-0014,R2 Sample / 1013 / 0014,"R2 uploaded sample for shape 1013, method 0014.",20260508_new_videos_collected/20260508_1013_0014.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0014,Method 0014,Shape 1013,,1
r2-1013-0015,R2 Sample / 1013 / 0015,"R2 uploaded sample for shape 1013, method 0015.",20260508_new_videos_collected/20260508_1013_0015.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0015,Method 0015,Shape 1013,,1
r2-1013-0016,R2 Sample / 1013 / 0016,"R2 uploaded sample for shape 1013, method 0016.",20260508_new_videos_collected/20260508_1013_0016.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0016,Method 0016,Shape 1013,,1
r2-1013-0017,R2 Sample / 1013 / 0017,"R2 uploaded sample for shape 1013, method 0017.",20260508_new_videos_collected/20260508_1013_0017.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0017,Method 0017,Shape 1013,,1
r2-1013-0018,R2 Sample / 1013 / 0018,"R2 uploaded sample for shape 1013, method 0018.",20260508_new_videos_collected/20260508_1013_0018.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0018,Method 0018,Shape 1013,,1
r2-1013-0019,R2 Sample / 1013 / 0019,"R2 uploaded sample for shape 1013, method 0019.",20260508_new_videos_collected/20260508_1013_0019.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0019,sv4d2_fp_front-right60,Shape 1013,,1
r2-1013-0020,R2 Sample / 1013 / 0020,"R2 uploaded sample for shape 1013, method 0020.",20260508_new_videos_collected/20260508_1013_0020.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0020,Method 0020,Shape 1013,,1
r2-1013-0021,R2 Sample / 1013 / 0021,"R2 uploaded sample for shape 1013, method 0021.",20260508_new_videos_collected/20260508_1013_0021.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-0021,tc4d_front-right60,Shape 1013,,1
r2-1047-0001,R2 Sample / 1047 / 0001,"R2 uploaded sample for shape 1047, method 0001.",20260508_new_videos_collected/20260508_1047_0001.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0001,Method 0001,Shape 1047,,1
r2-1047-0002,R2 Sample / 1047 / 0002,"R2 uploaded sample for shape 1047, method 0002.",20260508_new_videos_collected/20260508_1047_0002.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0002,Method 0002,Shape 1047,,1
r2-1047-0003,R2 Sample / 1047 / 0003,"R2 uploaded sample for shape 1047, method 0003.",20260508_new_videos_collected/20260508_1047_0003.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0003,Method 0003,Shape 1047,,1
r2-1047-0004,R2 Sample / 1047 / 0004,"R2 uploaded sample for shape 1047, method 0004.",20260508_new_videos_collected/20260508_1047_0004.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0004,Method 0004,Shape 1047,,1
r2-1047-0005,R2 Sample / 1047 / 0005,"R2 uploaded sample for shape 1047, method 0005.",20260508_new_videos_collected/20260508_1047_0005.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0005,Method 0005,Shape 1047,,1
r2-1047-0006,R2 Sample / 1047 / 0006,"R2 uploaded sample for shape 1047, method 0006.",20260508_new_videos_collected/20260508_1047_0006.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0006,Method 0006,Shape 1047,,1
r2-1047-0007,R2 Sample / 1047 / 0007,"R2 uploaded sample for shape 1047, method 0007.",20260508_new_videos_collected/20260508_1047_0007.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0007,Method 0007,Shape 1047,,1
r2-1047-0008,R2 Sample / 1047 / 0008,"R2 uploaded sample for shape 1047, method 0008.",20260508_new_videos_collected/20260508_1047_0008.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0008,Method 0008,Shape 1047,,1
r2-1047-0009,R2 Sample / 1047 / 0009,"R2 uploaded sample for shape 1047, method 0009.",20260508_new_videos_collected/20260508_1047_0009.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-0009,Method 0009,Shape 1047,,1
